Phase,Sprint,Feature ID,Task,Status,Reference Doc,Notes
Phase 1,1-2,,Project Setup & Basic UI Shell,Done,,
Phase 1,1-2,,Initialize Flutter project with all platform targets,Done,docs/04-DEVELOPMENT-PLAN.md,
Phase 1,1-2,,Project structure (ARCHITECTURE.md),Done,reference/architecture/ARCHITECTURE.md,
Phase 1,1-2,,Configure dependencies (pubspec.yaml),Done,,
Phase 1,1-2,,Design system — App color palette (dark theme),Done,reference/design-system/DESIGN-SYSTEM.md,GitHub Dark palette
Phase 1,1-2,,Design system — Typography (Inter + JetBrains Mono),Done,reference/design-system/DESIGN-SYSTEM.md,
Phase 1,1-2,,Design system — Icon system (Lucide),Done,reference/design-system/DESIGN-SYSTEM.md,
Phase 1,1-2,,Design system — Component library,Done,reference/design-system/DESIGN-SYSTEM.md,
Phase 1,1-2,,Adaptive layout scaffold (desktop/tablet/mobile),Done,docs/03-NAVIGATION-FLOW.md,Sidebar + bottom nav
Phase 1,1-2,,Local database (Drift + SQLite),Done,reference/architecture/ARCHITECTURE.md,sqlite3_flutter_libs (not SQLCipher)
Phase 1,1-2,,Secure storage service,Done,,AES-256-GCM encrypted Drift DB (replaced flutter_secure_storage)
Phase 1,1-2,,Settings screen (basic theme toggle + about),Done,,
Phase 1,1-2,,Riverpod providers structure,Done,,
Phase 1,3-4,F1.4,Host CRUD (create/read/update/delete),Done,docs/02-FEATURE-LIST.md,
Phase 1,3-4,,Hosts list screen (empty state + list + search),Done,reference/wireframes/WIREFRAMES.md,
Phase 1,3-4,,Add/Edit host form (all fields + validation),Done,,
Phase 1,3-4,,Host detail view (info + connect + edit + delete),Done,,
Phase 1,3-4,F1.7,Quick connect dialog (user@host:port),Done,,
Phase 1,3-4,F10.5,Recent connections list (sidebar),Done,,Last 5 connected hosts
Phase 1,3-4,,Host groups (CRUD + assign hosts),Done,,Flat groups (not nested)
Phase 1,5-6,F1.1,SSH2 connection (password auth),Done,docs/02-FEATURE-LIST.md,
Phase 1,5-6,F1.2,SSH2 connection (key auth - RSA/Ed25519/ECDSA),Done,,
Phase 1,5-6,F2.1,Full VT100/VT220/xterm emulation,Done,,xterm.dart v4.0.0
Phase 1,5-6,F2.2,256-color and truecolor (24-bit) support,Done,,Built into xterm.dart
Phase 1,5-6,F2.3,Unicode and wide character (CJK) rendering,Done,,Built into xterm.dart
Phase 1,5-6,F2.4,Scrollback buffer,Done,,
Phase 1,5-6,F2.5,Text selection and copy/paste,Done,,Cmd+C/Cmd+V via TerminalActions
Phase 1,5-6,F2.6,Multiple tabs,Done,,TerminalTabProvider + IndexedStack
Phase 1,5-6,F2.15,Terminal resize handling (SIGWINCH),Done,,
Phase 1,5-6,F3.1,Extra keyboard row (Ctrl/Alt/Esc/Tab/arrows),Done,reference/design-system/MOBILE-UX-GUIDE.md,
Phase 1,5-6,F3.6,Hardware keyboard support,Done,,
Phase 1,5-6,F4.10,Host key fingerprint verification (TOFU),Done,,Known hosts DB
Phase 1,7-8,,SSH Key list screen,Done,reference/wireframes/WIREFRAMES.md,S5.1
Phase 1,7-8,F4.2,Import keys from file,Done,,KeyImportScreen
Phase 1,7-8,F4.3,Import keys from clipboard,Done,,
Phase 1,7-8,F4.4,Export public key,Done,,Copy to clipboard
Phase 1,7-8,F4.5,Copy public key to clipboard,Done,,
Phase 1,7-8,F4.7,Key label/naming,Done,,
Phase 1,7-8,F4.8,Associate keys with hosts,Done,,hostsByKeyIdProvider
Phase 1,7-8,,Key detail view (fingerprint + public key + hosts),Done,,S5.4
Phase 1,7-8,F5.1,SFTP file browser (list/navigate),Done,,
Phase 1,7-8,F5.2,Upload files,Done,,
Phase 1,7-8,F5.3,Download files,Done,,
Phase 1,7-8,F5.9,Transfer progress indicator,Done,,
Phase 1,9-10,F12.1,App theme (dark/light/system),Done,,RadioGroup API
Phase 1,9-10,,Light theme implementation,Done,,Full component parity
Phase 1,9-10,,Onboarding screens (4 feature slides),Done,,
Phase 1,9-10,,Error handling audit,Done,,ErrorDisplay + showErrorSnackBar
Phase 1,9-10,,Accessibility basics (Semantics),Done,,StatusIndicator + EmptyState
Phase 1,9-10,F12.8,About / version info,Done,,About dialog from settings
Phase 1,9-10,,App icon (macOS),Done,,Custom app icons all sizes
Phase 2,11-12,F6.1,Local port forwarding,Done,docs/02-FEATURE-LIST.md,
Phase 2,11-12,F6.2,Remote port forwarding,Done,,
Phase 2,11-12,F6.4,Saved port forwarding rules,Done,,PortForwardDao
Phase 2,11-12,F6.5,Active forwarding indicator/management,Done,,Port forwarding screen
Phase 2,11-12,F1.8,Proxy jump / bastion host support,Done,,Recursive SSH chain
Phase 2,11-12,F1.12,Auto-reconnect on disconnect,Done,,TerminalTabsNotifier reconnect logic
Phase 2,11-12,,Key import screen (full),Done,,
Phase 2,11-12,F2.7,Split pane terminal (Cmd+D / Cmd+Shift+D),Done,docs/04-DEVELOPMENT-PLAN.md,Horizontal + vertical split + resize + focus switch + command palette
Phase 2,13-14,F7.1,Create/edit/delete snippets,Done,,
Phase 2,13-14,F7.2,Snippet categories/folders,Done,,Category grouping in list
Phase 2,13-14,F7.3,Variable substitution in snippets ({{var}}),Done,,Variable detection + input dialog
Phase 2,13-14,F7.4,Quick-insert snippet from terminal,Done,,SnippetPicker overlay
Phase 2,13-14,F10.1,Command palette (Cmd+K),Done,,Fuzzy search hosts/snippets/actions
Phase 2,13-14,F10.2,Global search (hosts/snippets/settings),Done,,Via command palette
Phase 2,15-16,F2.9,Terminal theme selection (9 built-in themes),Done,,Color swatch preview + persistence
Phase 2,15-16,F12.2,Terminal theme selector in settings,Done,,
Phase 2,15-16,,Font size slider (10-24px + live preview),Done,,terminalFontSizeProvider
Phase 2,15-16,,Terminal zoom (Cmd+=/- and Cmd+0 reset),Done,,terminalZoomOffsetProvider
Phase 2,15-16,F12.4,Connection defaults (port/timeout/keep-alive),Done,,Settings + host form reads defaults
Phase 2,15-16,F4.9,Known hosts management screen,Done,,List/search/delete fingerprints
Phase 2,15-16,F10.3,Keyboard shortcuts (global + terminal),Done,,CallbackShortcuts + SingleActivator
Phase 2,15-16,,Shortcut reference overlay (Cmd+/),Done,,Grouped shortcuts with key badges
Phase 2,15-16,,Font family selection (10 bundled fonts),Done,docs/04-DEVELOPMENT-PLAN.md,Google Fonts picker + bundled JetBrainsMono
Phase 2,15-16,,Font ligature toggle,Done,,Settings toggle + provider
Phase 2,15-16,F1.6,Host tags system (add/remove/filter),Done,docs/02-FEATURE-LIST.md,Tags in host form + badge display on list/detail
Phase 2,15-16,F10.6,Favorites / starred hosts,Done,,isFavorite toggle on host detail
Phase 2,15-16,,Nested groups,Done,,Parent group selector + hierarchical display
Phase 2,15-16,,Drag-and-drop host reorder (desktop),Done,,ReorderableListView + sortOrder column + drag handles
Phase 2,15-16,,Search in terminal output (Cmd+Shift+F),Done,docs/02-FEATURE-LIST.md,Floating search bar with match navigation
Phase 2,15-16,F2.10,Clickable URLs in terminal,Done,,onTapUp + URL regex + url_launcher
Phase 2,15-16,F2.12,Visual bell,Done,,AnimationController flash on onBell
Phase 2,15-16,,Cursor style selection,Done,,Block/underline/bar picker in settings
Phase 2,15-16,F3.2,Swipe gestures for tab switching (mobile),Done,reference/design-system/MOBILE-UX-GUIDE.md,Horizontal swipe on terminal content
Phase 2,15-16,F3.3,Pinch-to-zoom font size (mobile),Done,,Scale gesture → zoom offset
Phase 2,15-16,F3.5,Two-finger scroll for scrollback (mobile),Done,,Built into xterm.dart natively
Phase 2,15-16,F3.7,Haptic feedback on key press (mobile),Done,,HapticFeedback on extra keys + tab swipe
Phase 2,Bonus,,Chrome-style workspace tab bar,Done,,WorkspaceProvider + WorkspaceTabBar
Phase 2,Bonus,,Biometric app lock (Touch ID),Done,,AppLockNotifier + local_auth
Phase 2,Bonus,F5.12,SFTP dual-pane browser (local + remote),Done,,Independent SSH connection
Phase 2,Bonus,,UX hover effects (all list items),Done,,MouseRegion + AnimatedContainer
Phase 2,Bonus,F5.4,SFTP create directory,Done,,Remote pane folder creation
Phase 2,Bonus,F5.5,SFTP delete files/directories,Done,,Remote pane delete action
Phase 2,Bonus,F5.6,SFTP rename files,Done,,SftpService.rename()
Phase 3,17-18,,Crypto service (Argon2id KDF),Done,docs/05-SECURITY-PLAN.md,vault_crypto_service.dart — Argon2id (64MB/3/4 prod; 1MB/1/1 debug)
Phase 3,17-18,,HKDF key expansion (master key -> enc + mac keys),Done,,HKDF-SHA256 → encKey + macKey
Phase 3,17-18,,AES-256-GCM encryption/decryption,Done,,Per-item AES-256-GCM with random nonce
Phase 3,17-18,,HMAC-SHA256 authentication,Done,,HMAC-SHA256 on all encrypted items
Phase 3,17-18,,Per-item key generation and encryption,Done,,VaultCryptoService.encryptItem/decryptItem
Phase 3,17-18,,Vault service (lock/unlock state machine),Done,,VaultNotifier: noVault → locked → unlocked + auto-lock timer
Phase 3,17-18,,Master password setup flow,Done,,MasterPasswordSetupScreen + password strength meter
Phase 3,17-18,,Master password change flow,Done,,VaultNotifier.changePassword() re-derives keys
Phase 3,17-18,,Vault unlock screen (password + biometric),Done,,VaultUnlockScreen + biometric button
Phase 3,17-18,,Biometric service (iOS/Android/macOS/Windows),Done,,App lock + vault biometric + auto-unlock from cached keys
Phase 3,17-18,F8.4,Secure clipboard (auto-clear 30s),Done,,clipboardHelper with auto-clear
Phase 3,17-18,,Migrate existing data to encrypted vault,Done,,Vault auto-created on account signup; unified with account password
Phase 3,19-20,,Backend server (Supabase),Done,reference/architecture/ARCHITECTURE.md,Pluggable backend: abstract AuthBackend/SyncBackend + Supabase impl
Phase 3,19-20,,User registration endpoint,Done,,Supabase Auth signUp + email verification
Phase 3,19-20,,User login endpoint,Done,,Supabase Auth signInWithPassword
Phase 3,19-20,,JWT token management,Done,,Supabase handles JWT; auto-refresh via supabase_flutter
Phase 3,19-20,,Password reset flow,Done,,ForgotPasswordScreen + Supabase resetPasswordForEmail
Phase 3,19-20,,TOTP 2FA setup/verify,Done,,Implemented in Sprint 23-24: TotpService + setup/verify screens + login flow
Phase 3,19-20,,Rate limiting,Done,,Supabase built-in rate limiting (GoTrue)
Phase 3,19-20,,Client auth service (sign up/login screens),Done,,AuthService + LoginScreen + SignUpScreen + ForgotPasswordScreen
Phase 3,19-20,,API client (pluggable backend interfaces),Done,,AuthBackend + SyncBackend abstract interfaces; Supabase implementations
Phase 3,21-22,,Vault sync API (backend),Done,,Supabase sync_items + vault_config tables with RLS
Phase 3,21-22,F9.2,E2E encrypted vault sync,Done,,SyncService: pull → decrypt → resolve → encrypt → push
Phase 3,21-22,F9.3,Sync hosts/keys/snippets/settings,Done,,SyncSerializer for all 5 entity types + groups
Phase 3,21-22,F9.4,Offline mode with local cache,Done,,sync_queue table + flush on connectivity
Phase 3,21-22,F9.5,Conflict resolution (LWW + syncVersion),Done,,Last-write-wins by syncVersion; stale metadata detection
Phase 3,21-22,,Sync settings UI (toggle/status/manual sync),Done,,Settings screen sync section + SyncNotifier
Phase 3,21-22,,Unified vault + account password,Done,,Account password auto-creates/unlocks vault; no separate master password
Phase 3,21-22,,Auto-unlock vault from cached keys,Done,,SecureStorageService caches master key; auto-unlock on app reopen
Phase 3,21-22,,Push notifications (FCM + APNs),Pending,,Fallback: periodic 5-min auto-sync implemented
Phase 3,23-24,,Security audit (crypto/keys/logs/API),Done,docs/05-SECURITY-PLAN.md,Sanitized debug prints; verified TOTP codes not logged; vault keys destroyed in finally blocks
Phase 3,23-24,F8.5,TOTP 2FA setup screen,Done,,TotpService + TotpSetupScreen (QR code) + TotpVerifyScreen (login flow) + settings toggle
Phase 3,23-24,F8.6,Password generator,Done,,PasswordGeneratorScreen (done in Sprint 15-16)
Phase 3,23-24,,Session timeout settings,Done,,Vault auto-lock timer (0/60/300/900/1800/3600s) in settings
Phase 3,23-24,F9.8,Export/import vault (encrypted JSON),Done,,Argon2id KDF + AES-256-GCM encrypted export with private keys + passwords; file_picker import
Phase 3,23-24,,Privacy policy screen,Done,,LegalScreen + assets/legal/privacy_policy.md + terms_of_service.md
Phase 3,23-24,,Delete account flow,Done,,Delete Account dialog (type DELETE to confirm) + server RPC + vault lock + logout
Phase 4,25-26,,SFTP drag-and-drop upload (desktop),Done,docs/04-DEVELOPMENT-PLAN.md,desktop_drop package in sftp_screen.dart (done in Bonus sprint)
Phase 4,25-26,,SFTP file permissions view/edit,Done,,setPermissions() + _PermissionsDialog with 3x3 checkbox grid + octal input
Phase 4,25-26,,Edit remote text files in-app,Done,,RemoteTextEditor screen with load/save/unsaved-changes detection
Phase 4,25-26,,AWS EC2 instance import,Done,,AWS Sig V4 signer + AwsImportService + multi-step wizard screen
Phase 4,25-26,,DigitalOcean droplet import,Done,,DoImportService (REST API) + multi-step wizard screen
Phase 4,25-26,,Custom terminal theme editor,Done,,CustomThemeEditorScreen with color pickers
Phase 4,25-26,F6.3,Dynamic port forwarding (SOCKS proxy),Done,,Backend startDynamicForward() + UI toggle enabled
Phase 4,27-28,,Terminal session logging,Done,,SessionLogsScreen + audit log viewer
Phase 4,27-28,F2.13,Broadcast input to multiple sessions,Done,,Selective per-tab broadcast groups + BroadcastPanel bottom sheet + CAST button with long-press
Phase 4,27-28,F10.7,Workspaces (grouped sessions),Done,,Chrome-style tab bar + DB persistence (auto-save with debounce) + restore on startup + WorkspaceManagerScreen
Phase 4,27-28,,SSH agent forwarding,Deferred,,dartssh2 v2.9.0 has no agent forwarding API surface
Phase 4,27-28,F4.11,PPK format import,Done,,PpkParser: PPK v2 unencrypted RSA/Ed25519 → PEM conversion + auto-detect in SshKeyService.importKey()
Phase 4,27-28,F3.9,iPad multitasking (Split View / Slide Over),Done,,3-tier responsive layout: ≥900px full desktop / ≥600px compact sidebar / <600px mobile
Phase 4,29-30,F9.7,Self-hosted sync server (Docker),Skipped,,Supabase backend handles all sync/auth needs
Phase 4,29-30,,Bundle UI font (eliminate Google Fonts network fetch),Done,,PlusJakartaSans bundled; offline-first startup
Phase 4,29-30,,Terminal output micro-batching,Done,,16ms flush interval + 64KB ceiling; reduces writes per frame
Phase 4,29-30,,Extract status bar timer (eliminate full-tree rebuilds),Done,,StatusBar owns its own 1s Timer; only 28px bar rebuilds
Phase 4,29-30,,Memoize xterm theme conversion,Done,,Cache keyed by theme name; avoids 20+ Color allocs per build
Phase 4,29-30,,Parallel workspace terminal reconnection,Done,,Future.wait() with max 3 concurrent; was sequential
Phase 4,29-30,,Database index additions (schema v6),Done,,idx_snippets_category + idx_groups_parent
Phase 4,29-30,,Unit test suite (31 tests),Done,,DAO tests (host/snippet/settings) + SecureStorageService + widget smoke
Phase 4,29-30,,Integration test suite,Done,,App smoke test + navigation + settings persistence
Phase 4,29-30,,App store preparation (v1.0.0),Done,,Version bump + iOS PrivacyInfo + Info.plist usage descriptions + Android INTERNET + macOS read-write entitlement + store metadata
